pages,period,count,share
98.0,post,1,1.0989494043694229e-05
99.0,post,5,5.494747021847114e-05
100.0,post,4,4.3957976174776917e-05
101.0,post,3,3.2968482131082684e-05
102.0,post,5,5.494747021847114e-05
103.0,post,3,3.2968482131082684e-05
104.0,post,2,2.1978988087388458e-05
105.0,post,1,1.0989494043694229e-05
107.0,post,2,2.1978988087388458e-05
108.0,post,4,4.3957976174776917e-05
109.0,post,2,2.1978988087388458e-05
110.0,post,6,6.593696426216537e-05
111.0,post,5,5.494747021847114e-05
112.0,post,2,2.1978988087388458e-05
113.0,post,3,3.2968482131082684e-05
114.0,post,4,4.3957976174776917e-05
115.0,post,5,5.494747021847114e-05
116.0,post,5,5.494747021847114e-05
117.0,post,2,2.1978988087388458e-05
119.0,post,1,1.0989494043694229e-05
120.0,post,2,2.1978988087388458e-05
121.0,post,1,1.0989494043694229e-05
122.0,post,2,2.1978988087388458e-05
123.0,post,2,2.1978988087388458e-05
124.0,post,2,2.1978988087388458e-05
125.0,post,2,2.1978988087388458e-05
126.0,post,2,2.1978988087388458e-05
127.0,post,1,1.0989494043694229e-05
128.0,post,2,2.1978988087388458e-05
131.0,post,1,1.0989494043694229e-05
132.0,post,1,1.0989494043694229e-05
134.0,post,2,2.1978988087388458e-05
135.0,post,1,1.0989494043694229e-05
136.0,post,1,1.0989494043694229e-05
137.0,post,1,1.0989494043694229e-05
141.0,post,2,2.1978988087388458e-05
142.0,post,1,1.0989494043694229e-05
143.0,post,1,1.0989494043694229e-05
144.0,post,3,3.2968482131082684e-05
145.0,post,1,1.0989494043694229e-05
146.0,post,1,1.0989494043694229e-05
148.0,post,2,2.1978988087388458e-05
149.0,post,1,1.0989494043694229e-05
150.0,post,1,1.0989494043694229e-05
151.0,post,2,2.1978988087388458e-05
155.0,post,1,1.0989494043694229e-05
156.0,post,1,1.0989494043694229e-05
157.0,post,2,2.1978988087388458e-05
158.0,post,1,1.0989494043694229e-05
160.0,post,1,1.0989494043694229e-05
161.0,post,1,1.0989494043694229e-05
162.0,post,1,1.0989494043694229e-05
163.0,post,2,2.1978988087388458e-05
164.0,post,1,1.0989494043694229e-05
166.0,post,1,1.0989494043694229e-05
167.0,post,1,1.0989494043694229e-05
168.0,post,1,1.0989494043694229e-05
170.0,post,2,2.1978988087388458e-05
172.0,post,1,1.0989494043694229e-05
178.0,post,1,1.0989494043694229e-05
180.0,post,4,4.3957976174776917e-05
181.0,post,2,2.1978988087388458e-05
184.0,post,1,1.0989494043694229e-05
187.0,post,1,1.0989494043694229e-05
191.0,post,1,1.0989494043694229e-05
193.0,post,1,1.0989494043694229e-05
195.0,post,1,1.0989494043694229e-05
196.0,post,1,1.0989494043694229e-05
201.0,post,1,1.0989494043694229e-05
202.0,post,2,2.1978988087388458e-05
203.0,post,1,1.0989494043694229e-05
206.0,post,1,1.0989494043694229e-05
212.0,post,1,1.0989494043694229e-05
214.0,post,1,1.0989494043694229e-05
216.0,post,1,1.0989494043694229e-05
217.0,post,1,1.0989494043694229e-05
221.0,post,1,1.0989494043694229e-05
222.0,post,1,1.0989494043694229e-05
234.0,post,1,1.0989494043694229e-05
237.0,post,1,1.0989494043694229e-05
240.0,post,1,1.0989494043694229e-05
243.0,post,1,1.0989494043694229e-05
251.0,post,1,1.0989494043694229e-05
258.0,post,1,1.0989494043694229e-05
263.0,post,1,1.0989494043694229e-05
276.0,post,1,1.0989494043694229e-05
283.0,post,1,1.0989494043694229e-05
304.0,post,1,1.0989494043694229e-05
317.0,post,1,1.0989494043694229e-05
326.0,post,1,1.0989494043694229e-05
330.0,post,1,1.0989494043694229e-05
335.0,post,1,1.0989494043694229e-05
372.0,post,1,1.0989494043694229e-05
385.0,post,1,1.0989494043694229e-05
425.0,post,1,1.0989494043694229e-05
513.0,post,1,1.0989494043694229e-05
516.0,post,1,1.0989494043694229e-05
599.0,post,1,1.0989494043694229e-05
