month,site,google_sessions_to_site,total_google_sessions,sessions_per_1000_google,all_sessions_to_site,total_sessions,sessions_per_1000_all,minutes_on_site,total_minutes,minutes_per_1000_all,google_trends_index
202410,pornhub,8332,1962468,4.245674,49998,15249298,3.278708,382720.87,50679737.72,7.551753,69
202410,xvideos,8495,1962468,4.328733,34907,15249298,2.289089,91239.92,50679737.72,1.800323,87
202410,xnxx,3561,1962468,1.814552,15771,15249298,1.034212,53632.58,50679737.72,1.058265,86
202410,xhamster,1476,1962468,0.752114,18193,15249298,1.193039,151664.57,50679737.72,2.992608,92
202410,chaturbate,392,1962468,0.199748,40398,15249298,2.649171,245629.36,50679737.72,4.846697,68
202411,pornhub,9367,2222692,4.214259,57140,17076127,3.346192,428705.51,56357223.65,7.606931,71
202411,xvideos,9213,2222692,4.144974,37960,17076127,2.222987,93359.82,56357223.65,1.656572,91
202411,xnxx,4013,2222692,1.805468,16042,17076127,0.93944,45160.02,56357223.65,0.801317,83
202411,xhamster,1792,2222692,0.80623,18860,17076127,1.104466,141627.33,56357223.65,2.513029,92
202411,chaturbate,534,2222692,0.240249,43284,17076127,2.534767,223193.3,56357223.65,3.960332,66
202412,pornhub,8683,2280006,3.808323,54224,16269970,3.332766,397592.32,54418204.86,7.306237,73
202412,xvideos,9010,2280006,3.951744,37353,16269970,2.295825,95525.52,54418204.86,1.755396,90
202412,xnxx,3523,2280006,1.545171,15079,16269970,0.926799,41247.05,54418204.86,0.757964,91
202412,xhamster,1734,2280006,0.760524,19877,16269970,1.221699,267791.93,54418204.86,4.920999,96
202412,chaturbate,484,2280006,0.21228,44946,16269970,2.762513,231415.25,54418204.86,4.252534,69
