pages,period,count,share
27.0,post,496,0.007173850159097483
28.0,post,447,0.00646514318773503
29.0,post,380,0.0054960948799537175
30.0,post,414,0.005987850737633787
31.0,post,372,0.005380387619323112
32.0,post,332,0.0048018513161700895
33.0,post,322,0.004657217240381834
34.0,post,273,0.003948510269019381
35.0,post,302,0.004367949088805323
36.0,post,270,0.0039051200462829044
37.0,post,287,0.004150997975122939
38.0,post,233,0.0033699739658663583
39.0,post,224,0.003239803297656928
40.0,post,200,0.0028926815157651145
41.0,post,213,0.0030807058142898465
42.0,post,183,0.0026468035869250794
43.0,post,193,0.002791437662713335
44.0,post,163,0.002357535435348568
45.0,post,164,0.002371998842927394
46.0,post,146,0.0021116575065085333
47.0,post,137,0.001981486838299103
48.0,post,139,0.0020104136534567544
49.0,post,119,0.001721145501880243
50.0,post,131,0.0018947063928261498
51.0,post,131,0.0018947063928261498
52.0,post,100,0.0014463407578825572
53.0,post,110,0.001590974833670813
54.0,post,114,0.0016488284639861151
55.0,post,111,0.0016054382412496384
56.0,post,88,0.0012727798669366502
57.0,post,77,0.001113682383569569
58.0,post,75,0.0010847555684119178
59.0,post,86,0.0012438530517789991
60.0,post,72,0.0010413653456754412
61.0,post,66,0.0009545849002024877
62.0,post,82,0.001185999421463697
63.0,post,74,0.0010702921608330923
64.0,post,75,0.0010847555684119178
65.0,post,59,0.0008533410471507087
66.0,post,68,0.0009835117153601388
67.0,post,66,0.0009545849002024877
68.0,post,55,0.0007954874168354065
69.0,post,41,0.0005929997107318485
70.0,post,49,0.000708706971362453
71.0,post,53,0.0007665606016777553
72.0,post,49,0.000708706971362453
73.0,post,53,0.0007665606016777553
74.0,post,35,0.000506219265258895
75.0,post,37,0.0005351460804165462
76.0,post,43,0.0006219265258894996
77.0,post,33,0.00047729245010124386
78.0,post,31,0.0004483656349435927
79.0,post,33,0.00047729245010124386
80.0,post,38,0.0005496094879953717
81.0,post,54,0.0007810240092565808
82.0,post,34,0.0004917558576800694
83.0,post,31,0.0004483656349435927
84.0,post,33,0.00047729245010124386
85.0,post,35,0.000506219265258895
86.0,post,31,0.0004483656349435927
87.0,post,25,0.0003615851894706393
88.0,post,27,0.0003905120046282904
89.0,post,18,0.0002603413364188603
90.0,post,29,0.00041943881978594155
91.0,post,28,0.000404975412207116
92.0,post,23,0.00033265837431298816
93.0,post,18,0.0002603413364188603
94.0,post,23,0.00033265837431298816
95.0,post,17,0.0002458779288400347
96.0,post,28,0.000404975412207116
97.0,post,20,0.0002892681515765114
98.0,post,14,0.000202487706103558
99.0,post,16,0.00023141452126120915
100.0,post,20,0.0002892681515765114
101.0,post,14,0.000202487706103558
102.0,post,21,0.000303731559155337
103.0,post,23,0.00033265837431298816
104.0,post,17,0.0002458779288400347
105.0,post,20,0.0002892681515765114
106.0,post,15,0.00021695111368238358
107.0,post,14,0.000202487706103558
108.0,post,13,0.00018802429852473243
109.0,post,13,0.00018802429852473243
110.0,post,12,0.00017356089094590685
111.0,post,15,0.00021695111368238358
112.0,post,7,0.000101243853051779
113.0,post,10,0.0001446340757882557
114.0,post,14,0.000202487706103558
115.0,post,12,0.00017356089094590685
116.0,post,7,0.000101243853051779
